id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
153	honesthyp	2	0	0	1	0		51	17		34		48	36		42		48	29		38.5		48	0		24		63	66		64.5	34.625	63	2	4	10	4	1
154	honesthyp	2	0	0	1	0			45	37	41			62	50	56			48	50	49			43	51	47			19	14	16.5	48.25	32	2	2	7	4	1
155	tradhyp	1	1	0	0	0		50	49		49.5		50	47		48.5		50	49		49.5		40	38		39		69	65		67	46.625	28	1	2	3	5	1
156	tradhyp	1	1	0	0	0		0	0		0		0	0		0		0	0		0		0	0		0		100	100		100	0	24	1	4	4	3	2
157	disclosurehyp	4	0	0	0	1			30	52	41			35	60	47.5			26	39	32.5			29	46	37.5			96	77	86.5	39.625	39	1	6	7	3	2
158	controltrans	3	0	1	0	0		34	66		50		84	65		74.5		65	69		67		82	41		61.5		0	0		0	63.25	55	2	4	4	3	1
159	disclosurehyp	4	0	0	0	1		47	47		47		47	48		47.5		48	48		48		47	28		37.5		86	87		86.5	45	29	1	4	8	5	1
160	tradhyp	1	1	0	0	0			50	44	47			40	32	36			9	31	20			39	34	36.5			100	100	100	34.875	48	2	4	7	6	1
161	honesthyp	2	0	0	1	0		65	60		62.5		63	69		66		74	57		65.5		77	94		85.5		30	42		36	69.875	28	1	2	4	5	3
162	tradhyp	1	1	0	0	0		0	0		0		0	0		0		0	0		0		0	0		0		100	100		100	0	33	1	4	6	2	1
163	controltrans	3	0	1	0	0	3	17			10	2	31			16.5	0	24			12	0	20			10	98	69			83.5	12.125	59	2	2	5	4	1
164	disclosurehyp	4	0	0	0	1		36	31		33.5		40	46		43		45	36		40.5		41	23		32		55	52		53.5	37.25	28	1	5	3	3	3
165	honesthyp	2	0	0	1	0	33	34			33.5	56	36			46	16	20			18	21	11			16	97	94			95.5	28.375	23	2	2	6	4	2
166	disclosurehyp	4	0	0	0	1		0	30		15		26	34		30		22	29		25.5		15	31		23		76	70		73	23.375	19	2	4	1	4	1
167	honesthyp	2	0	0	1	0		52	60		56		41	42		41.5		30	41		35.5		42	41		41.5		52	42		47	43.625	22	1	5	1	5	2
168	tradhyp	1	1	0	0	0	34	44			39	36	45			40.5	36	51			43.5	15	38			26.5	87	76			81.5	37.375	39	1	5	7	4	3
169	tradhyp	1	1	0	0	0	11			44	27.5	25			40	32.5	11			38	24.5	8			31	19.5	98			78	88	26	35	2	2	6	5	3
170	controltrans	3	0	1	0	0		79	87		83		18	95		56.5		80	99		89.5		66	75		70.5		2	8		5	74.875	21	2	2	6	4	1
171	disclosurehyp	4	0	0	0	1	37	24			30.5	59	46			52.5	45	44			44.5	42	46			44	59	65			62	42.875	27	1	5	5	6	1
172	controltrans	3	0	1	0	0		36	36		36		36	35		35.5		13	34		23.5		0	35		17.5		81	92		86.5	28.125	23	1	5	2	5	2
173	honesthyp	2	0	0	1	0		30	28		29		33	23		28		33	30		31.5		34	26		30		31	59		45	29.625	37	1	5	4	5	1
174	tradhyp	1	1	0	0	0	59			30	44.5	53			49	51	37			18	27.5	32			25	28.5	83			99	91	37.875	26	2	5	5	3	1
